,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
14,P.AC.100.999,arts and crafts,fabric paints and sealers,NOC,paints or sealers for treating fabrics,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0300.020.099.F
15,P.AC.110.000,arts and crafts,finger paint,,non-edible finger paints,LSH,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0200.030.099.F
16,P.AC.120.000,arts and crafts,flocking,spray,flocking and artificial snow (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,1,1,NA,AC.0500.060.050.F
17,P.AC.130.000,arts and crafts,fogger,,liquid solutions for fogger machines,XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0400.010.099.F
18,P.AC.140.000,arts and crafts,glaze,,liquid products for glazing craft pottery,XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0800.010.099.F
19,P.AC.150.000,arts and crafts,gun cleaner,,liquid solutions for cleaning interior or exterior of firearms,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.5,0.5,NA,AC.0600.010.099.F
20,P.AC.160.000,arts and crafts,pens and markers,,writing utensils containing liquid or gel ink,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0700.020.099.F
21,P.AC.170.000,arts and crafts,play dough,,children's play modeling clays,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0200.040.099.F
22,P.AP.010.000,auto products,antifreeze,,antifreeze and/or coolant solutions for motorized vehicles,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0500.010.099.F
23,P.AP.020.029,auto products,auto air freshener,spray,air fresheners for car interiors (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0300.010.050.F
24,P.AP.020.999,auto products,auto air freshener,NOC,"air fresheners for car interiors, including products for vents",SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0300.010.099.F
25,P.AP.030.029,auto products,auto fluids and additives,spray,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers (spray or aerosol formulation specified)",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0500.020.050.F
26,P.AP.030.999,auto products,auto fluids and additives,NOC,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0500.020.099.F
27,P.AP.040.029,auto products,auto lubricant,spray,"engine lubricants and belt dressings, not including motor oils (spray or aerosol formulation specified)",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0500.030.050.F
28,P.AP.040.999,auto products,auto lubricant,NOC,"engine lubricants and belt dressings, not including motor oils",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,VE.0500.030.099.F
29,P.AP.050.029,auto products,auto paint,spray,paints and primers for auto body or engine (spray or aerosol formulation specified),LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,VE.0100.010.050.F
30,P.AP.050.999,auto products,auto paint,NOC,paints and primers for auto body or engine,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,VE.0100.010.099.F
31,P.AP.060.000,auto products,auto refrigerant,,refrigerants and freon products for auto applications,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0500.040.099.F
32,P.AP.070.000,auto products,boat cleaner,,"cleaners, washes, and polishes for exterior marine applications",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,1,VE.0200.020.099.F
33,P.AP.080.000,auto products,boat engine fluids,,engine fluids for marine applications,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,VE.0200.040.099.F
34,P.AP.090.000,auto products,body cleaner,,"cleaners, shampoos, and washes for auto body exterior (not including wax products)",LOS,0.8,0.2,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,1,VE.0400.010.099.F
35,P.AP.100.029,auto products,body repair,spray,"products for repairing auto body exteriors, including bondo-type products and scratch fillers (spray or aerosol formulation specified)",SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,VE.0100.020.050.F
36,P.AP.100.999,auto products,body repair,NOC,"products for repairing auto body exteriors, including bondo-type products and scratch fillers",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,VE.0100.020.099.F
37,P.AP.110.029,auto products,body wax,spray,"auto body waxes and coatings, including combo wash/wax products (spray or aerosol formulation specified)",SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.5,0.1,0.6,NA,VE.0400.020.050.F
38,P.AP.110.999,auto products,body wax,NOC,"auto body waxes and coatings, including combo wash/wax products",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0.5,0.1,0.6,NA,VE.0400.020.099.F
39,P.AP.120.029,auto products,degreaser,spray,"auto, engine and brake degreasers (spray or aerosol formulation specified)",SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,VE.0400.040.050.F
40,P.AP.120.999,auto products,degreaser,NOC,"auto, engine and brake degreasers",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,VE.0400.040.099.F
41,P.AP.130.029,auto products,detailing,spray,"products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims (spray or aerosol formulation specified",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,VE.0100.030.050.F
42,P.AP.130.999,auto products,detailing,NOC,"products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,VE.0100.030.099.F
43,P.AP.140.000,auto products,motor oil,,petroleum-based or synthetic engine lubricants,LAP,1,0,1,0,0.99,0.99,0,0.99,0.99,0,0,0,NA,VE.0500.050.099.F
44,P.AP.150.029,auto products,windows/windshield,spray,products for washing or protecting windshields or windows (spray or aerosol formulation specified),SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,VE.0100.040.050.F
45,P.AP.150.999,auto products,windows/windshield,NOC,products for washing or protecting windshields or windows,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,VE.0100.040.099.F
46,P.HM.010.029,home maintenance,adhesive remover,spray,solvent products for removing adhesives from surfaces (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.0100.010.050.F
47,P.HM.010.999,home maintenance,adhesive remover,NOC,solvent products for removing adhesives from surfaces,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.0100.010.099.F
48,P.HM.020.000,home maintenance,caulk/sealant,,"caulks and sealers for household use, including silicone products",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0400.010.099.F
49,P.HM.030.000,home maintenance,concrete,,products for patching or cleaning concrete surfaces,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0500.010.099.F
50,P.HM.040.029,home maintenance,corrosion protection,spray,products for protecting metal surfaces from corrosion or removing corrosion (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.0600.010.050.F
51,P.HM.040.999,home maintenance,corrosion protection,NOC,products for protecting metal surfaces from corrosion or removing corrosion,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.0600.010.099.F
52,P.HM.050.000,home maintenance,degreaser,,products for degreasing indoor surfaces,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.0700.010.099.F
53,P.HM.060.029,home maintenance,finish,spray,"products for permanently coating and protecting wood surfaces, including polyurethane products (spray or aerosol formulation specified)",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0800.010.050.F
54,P.HM.060.999,home maintenance,finish,NOC,"products for permanently coating and protecting wood surfaces, including polyurethane products",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0800.010.099.F
55,P.HM.070.000,home maintenance,grout sealer,,products for coating and protecting tile or grout,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.2100.010.099.F
56,P.HM.080.000,home maintenance,lock deicer,,products for deicing car or residential locks,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1200.010.099.F
57,P.HM.090.029,home maintenance,lubricant,spray,household maintenance lubricants (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1300.010.050.F
58,P.HM.090.999,home maintenance,lubricant,NOC,household maintenance lubricants,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1300.010.099.F
59,P.HM.100.000,home maintenance,mortar or grout,,products for attaching and grouting interior tiles,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.2100.020.099.F
60,P.HM.110.029,home maintenance,multipurpose adhesive,spray,"general purpose repair adhesives including all purpose glues, super glue, and epoxies; not including wood glues (spray or aerosol formulation specified)",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0100.020.050.F
61,P.HM.110.999,home maintenance,multipurpose adhesive,NOC,"general purpose repair adhesives including all purpose glues, super glue, and epoxies; not including wood glues",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0100.020.099.F
62,P.HM.120.005,home maintenance,paint,exterior,home improvement paints characterized as exterior use,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.010.040.F
63,P.HM.120.009,home maintenance,paint,interior,home improvement paints characterized as interior use,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.010.041.F
64,P.HM.120.029,home maintenance,paint,spray,home improvement paints not characterized as to interior or exterior use (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.010.050.F
65,P.HM.120.999,home maintenance,paint,NOC,home improvement paints not characterized as to interior or exterior use,LIS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.010.099.F
66,P.HM.130.029,home maintenance,paint cleaner,spray,paint removing products for clean-up (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.1400.020.050.F
67,P.HM.130.999,home maintenance,paint cleaner,NOC,paint removing products for clean-up,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.1400.020.099.F
68,P.HM.140.000,home maintenance,paint texture,,textured paints including ceiling texture,LIS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.030.099.F
