,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
69,P.HM.150.000,home maintenance,paint thinner,,paint or lacquer thinners,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.040.099.F
70,P.HM.160.000,home maintenance,patch and repair,,"drywall, ceiling, and joint compounds, spackles, or fillers",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1500.010.099.F
71,P.HM.170.000,home maintenance,plumbing,,"miscellaneous plumbing repair products (putties, tapes, cements)",SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1600.010.099.F
72,P.HM.180.005,home maintenance,primer,exterior,home improvement primers characterized as exterior use,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.050.040.F
73,P.HM.180.009,home maintenance,primer,interior,home improvement primers characterized as interior use,LIS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.050.041.F
74,P.HM.180.029,home maintenance,primer,spray,home improvement primers not characterized as to interior or exterior use (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.050.050.F
75,P.HM.180.999,home maintenance,primer,NOC,home improvement primers not characterized as to interior or exterior use,LIS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.050.099.F
76,P.HM.190.000,home maintenance,putty or filler,,"putty-type crack, hole, and wood fillers",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1500.020.099.F
77,P.HM.200.000,home maintenance,refrigerant,,air conditioner or other refrigerants,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,HM.1700.010.099.F
78,P.HM.210.000,home maintenance,roof,,"products for roof maintenance or repair, including cleaners, sealers, or coatings",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1800.010.099.F
79,P.HM.220.000,home maintenance,septic system,,septic system treatment products,LDR,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,HM.1900.010.099.F
80,P.HM.230.000,home maintenance,spray foam,,spray insulation and weatherstripping products,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1000.010.099.F
81,P.HM.240.005,home maintenance,stain,exterior,"wood stains characterized as exterior use, including deck stains",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.060.040.F
82,P.HM.240.999,home maintenance,stain,NOC,wood stains not characterized as interior or exterior use,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.1400.060.099.F
83,P.HM.250.029,home maintenance,stripper,spray,paint and finish strippers (spray or aerosol formulation specified),SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.1400.070.050.F
84,P.HM.250.999,home maintenance,stripper,NOC,paint and finish strippers,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,HM.1400.070.099.F
85,P.HM.260.005,home maintenance,surface sealer,exterior,products for coating and protecting household surfaces characterized as exterior use,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.2000.040.040.F
86,P.HM.260.029,home maintenance,surface sealer,spray,products for coating and protecting household surfaces not characterized as interior or exterior use (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.2000.040.050.F
87,P.HM.260.999,home maintenance,surface sealer,NOC,products for coating and protecting household surfaces not characterized as interior or exterior use,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.2000.040.099.F
88,P.HM.270.000,home maintenance,welding,,"miscellaneous welding products including gases, fluxes, and adhesives",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,HM.2400.010.099.F
89,P.HM.280.000,home maintenance,wood adhesive,,adhesives specifically characterized as wood glues,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,HM.0100.030.099.F
90,P.HO.010.000,home office,printer ink,,ink for inkjet printers,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,EL.0300.050.099.F
91,P.HO.020.000,home office,printer toner,,laser printer toners,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,EL.0300.060.099.F
92,P.HO.030.000,home office,white out,,correction fluids for ink or type,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0700.030.099.F
93,P.IH.010.007,inside the home,air freshener,gel,home air fresheners (gel formulation specified),SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0100.010.051.F
94,P.IH.010.013,inside the home,air freshener,liquid,home air fresheners (liquid formulation specified),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0100.010.052.F
95,P.IH.010.016,inside the home,air freshener,oil or diffuse,home air fresheners (oil formulations or diffusers),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0100.010.054.F
96,P.IH.010.029,inside the home,air freshener,spray,home air fresheners (spray or aerosol formulation specified),SIA,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0100.010.050.F
